;query;query_ru
11;"SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);";"ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.департаменты ГДЕ department_id НЕ В (ВЫБРАТЬ department_id ИЗ регистрсведений.руководство);"
12;SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes';"ВЫБРАТЬ РАЗЛИЧНЫЕ T1.возраст ИЗ регистрсведений.руководство КАК T2 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.руководители КАК T1 ПО T1.ссылка = T2.руководитель ГДЕ T2.временныйио = ""Yes"""
14;SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1;ВЫБРАТЬ T1.ссылка , T1.наименование , КОЛИЧЕСТВО(*) ИЗ регистрсведений.руководство КАК T2 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.департаменты КАК T1 ПО T1.ссылка = T2.департамент СГРУППИРОВАТЬ ПО T1.ссылка ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 1
15;SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%';"ВЫБРАТЬ ссылка , наименование ИЗ справочник.руководители ГДЕ наименование ПОДОБНО ""%Ha%"""
16;SELECT count(*) FROM farm;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.фермы
17;SELECT count(*) FROM farm;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.фермы
18;SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;ВЫБРАТЬ лошадейвсего ИЗ справочник.фермы УПОРЯДОЧИТЬ ПО лошадейвсего ВОЗР
19;SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;ВЫБРАТЬ лошадейвсего ИЗ справочник.фермы УПОРЯДОЧИТЬ ПО лошадейвсего ВОЗР
20;SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens';"ВЫБРАТЬ организаторы ИЗ справочник.соревнованиефермеров ГДЕ тема <> ""Aliens"""
21;SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens';"ВЫБРАТЬ организаторы ИЗ справочник.соревнованиефермеров ГДЕ тема <> ""Aliens"""
22;SELECT Theme FROM farm_competition ORDER BY YEAR ASC;ВЫБРАТЬ тема ИЗ справочник.соревнованиефермеров УПОРЯДОЧИТЬ ПО год ВОЗР
23;SELECT Theme FROM farm_competition ORDER BY YEAR ASC;ВЫБРАТЬ тема ИЗ справочник.соревнованиефермеров УПОРЯДОЧИТЬ ПО год ВОЗР
24;SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000;ВЫБРАТЬ СРЕДНЕЕ(рабочихлошадей) ИЗ справочник.фермы ГДЕ лошадейвсего > 5000
25;SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000;ВЫБРАТЬ СРЕДНЕЕ(рабочихлошадей) ИЗ справочник.фермы ГДЕ лошадейвсего > 5000
26;SELECT max(Cows) ,  min(Cows) FROM farm;ВЫБРАТЬ МАКСИМУМ(коровы) , МИНИМУМ(коровы) ИЗ справочник.фермы
27;SELECT max(Cows) ,  min(Cows) FROM farm;ВЫБРАТЬ МАКСИМУМ(коровы) , МИНИМУМ(коровы) ИЗ справочник.фермы
28;SELECT count(DISTINCT Status) FROM city;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ кодстраны) ИЗ справочник.города
29;SELECT count(DISTINCT Status) FROM city;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ кодстраны) ИЗ справочник.города
30;SELECT Official_Name FROM city ORDER BY Population DESC;ВЫБРАТЬ наименование ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
31;SELECT Official_Name FROM city ORDER BY Population DESC;ВЫБРАТЬ наименование ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
32;SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , кодстраны ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
33;SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , кодстраны ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
34;SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID;ВЫБРАТЬ T2.год , T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения
35;SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID;ВЫБРАТЬ T2.год , T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения
36;SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1;ВЫБРАТЬ T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения СГРУППИРОВАТЬ ПО T2.городпроведения ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 1
37;SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1;ВЫБРАТЬ T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения СГРУППИРОВАТЬ ПО T2.городпроведения ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 1
38;SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.кодстраны ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения СГРУППИРОВАТЬ ПО T2.городпроведения УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
39;SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.кодстраны ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения СГРУППИРОВАТЬ ПО T2.городпроведения УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
40;SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000;ВЫБРАТЬ T2.тема ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения ГДЕ T1.численность > 1000
41;SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000;ВЫБРАТЬ T2.тема ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения ГДЕ T1.численность > 1000
42;SELECT Status ,  avg(Population) FROM city GROUP BY Status;ВЫБРАТЬ кодстраны , СРЕДНЕЕ(численность) ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны
43;SELECT Status ,  avg(Population) FROM city GROUP BY Status;ВЫБРАТЬ кодстраны , СРЕДНЕЕ(численность) ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны
44;SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC;ВЫБРАТЬ кодстраны ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) ВОЗР
45;SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC;ВЫБРАТЬ кодстраны ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) ВОЗР
46;SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 кодстраны ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
47;SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 кодстраны ИЗ справочник.города СГРУППИРОВАТЬ ПО кодстраны УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
48;SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition);ВЫБРАТЬ Official_Name ИЗ справочник.города ГДЕ City_ID НЕ В (ВЫБРАТЬ Host_city_ID ИЗ справочник.соревнованиефермеров)
49;SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition);ВЫБРАТЬ Official_Name ИЗ справочник.города ГДЕ City_ID НЕ В (ВЫБРАТЬ Host_city_ID ИЗ справочник.соревнованиефермеров)
52;SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500;ВЫБРАТЬ наименование ИЗ справочник.города ГДЕ численность > 1500 ИЛИ численность < 500
53;SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500;ВЫБРАТЬ наименование ИЗ справочник.города ГДЕ численность > 1500 ИЛИ численность < 500
54;"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""";"ВЫБРАТЬ Census_Ranking ИЗ справочник.города ГДЕ кодстраны <> ""Village"""
55;"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""";"ВЫБРАТЬ Census_Ranking ИЗ справочник.города ГДЕ кодстраны <> ""Village"""
56;SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.наименование ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.курс СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
57;SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.наименование ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.курс СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
58;SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 студент ИЗ регистрсведений.регистрациястудентовнакурсы СГРУППИРОВАТЬ ПО студент УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*)
59;SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 студент ИЗ регистрсведений.регистрациястудентовнакурсы СГРУППИРОВАТЬ ПО студент УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*)
60;SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id;ВЫБРАТЬ T2.имя , T2.фамилия ИЗ справочник.кандидаты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.люди КАК T2 ПО T1.ссылка = T2.ссылка
61;SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id;ВЫБРАТЬ T2.имя , T2.фамилия ИЗ справочник.кандидаты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.люди КАК T2 ПО T1.ссылка = T2.ссылка
62;SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance);ВЫБРАТЬ student_id ИЗ справочник.студенты ГДЕ student_id НЕ В (ВЫБРАТЬ student_id ИЗ регистрсведений.посещаемостьстудентов)
63;SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance);ВЫБРАТЬ student_id ИЗ справочник.студенты ГДЕ student_id НЕ В (ВЫБРАТЬ student_id ИЗ регистрсведений.посещаемостьстудентов)
64;SELECT student_id FROM student_course_attendance;ВЫБРАТЬ студент ИЗ регистрсведений.посещаемостьстудентов
65;SELECT student_id FROM student_course_attendance;ВЫБРАТЬ студент ИЗ регистрсведений.посещаемостьстудентов
66;SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id;ВЫБРАТЬ T1.студент , T2.наименование ИЗ регистрсведений.регистрациястудентовнакурсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.курсы КАК T2 ПО T1.курс = T2.ссылка
67;SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T2.описание ИЗ регистрсведений.регистрациястудентовнакурсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.студенты КАК T2 ПО T1.студент = T2.ссылка УПОРЯДОЧИТЬ ПО T1.датарегистрации УБЫВ
68;SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T2.описание ИЗ регистрсведений.регистрациястудентовнакурсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.студенты КАК T2 ПО T1.студент = T2.ссылка УПОРЯДОЧИТЬ ПО T1.датарегистрации УБЫВ
69;"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""";"ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.посещаемостьстудентов КАК T2 ПО T1.ссылка = T2.курс ГДЕ T1.наименование = ""English"""
70;"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""";"ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.посещаемостьстудентов КАК T2 ПО T1.ссылка = T2.курс ГДЕ T1.наименование = ""English"""
71;SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.посещаемостьстудентов КАК T2 ПО T1.ссылка = T2.курс ГДЕ T2.студент = 171
72;SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.курсы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.посещаемостьстудентов КАК T2 ПО T1.ссылка = T2.курс ГДЕ T2.студент = 171
73;"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""";"ВЫБРАТЬ T2.ссылка ИЗ справочник.люди КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кандидаты КАК T2 ПО T1.ссылка = T2.ссылка ГДЕ T1.элпочта = ""stanley.monahan@example.org"""
74;"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""";"ВЫБРАТЬ T2.ссылка ИЗ справочник.люди КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кандидаты КАК T2 ПО T1.ссылка = T2.ссылка ГДЕ T1.элпочта = ""stanley.monahan@example.org"""
75;SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 кандидат ИЗ регистрсведений.оценкакандидатов УПОРЯДОЧИТЬ ПО датаоценки УБЫВ
76;SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 кандидат ИЗ регистрсведений.оценкакандидатов УПОРЯДОЧИТЬ ПО датаоценки УБЫВ
77;SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.описание ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
78;SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.описание ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
79;SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id;ВЫБРАТЬ T1.ссылка , КОЛИЧЕСТВО(*) ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент СГРУППИРОВАТЬ ПО T1.ссылка
80;SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id;ВЫБРАТЬ T1.ссылка , КОЛИЧЕСТВО(*) ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент СГРУППИРОВАТЬ ПО T1.ссылка
81;SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id;ВЫБРАТЬ T3.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.курсы КАК T3 ПО T2.курс = T3.ссылка СГРУППИРОВАТЬ ПО T2.курс
82;SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id;ВЫБРАТЬ T3.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.студенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.регистрациястудентовнакурсы КАК T2 ПО T1.ссылка = T2.студент ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.курсы КАК T3 ПО T2.курс = T3.ссылка СГРУППИРОВАТЬ ПО T2.курс
83;"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""";"ВЫБРАТЬ кандидат ИЗ регистрсведений.оценкакандидатов ГДЕ кодрезультатаоценки = ""Pass"""
84;"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""";"ВЫБРАТЬ кандидат ИЗ регистрсведений.оценкакандидатов ГДЕ кодрезультатаоценки = ""Pass"""
85;"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""";"ВЫБРАТЬ T3.мобильныйтелефон ИЗ справочник.кандидаты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.оценкакандидатов КАК T2 ПО T1.ссылка = T2.кандидат ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.люди КАК T3 ПО T1.ссылка = T3.ссылка ГДЕ T2.кодрезультатаоценки = ""Fail"""
86;"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""";"ВЫБРАТЬ T3.мобильныйтелефон ИЗ справочник.кандидаты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.оценкакандидатов КАК T2 ПО T1.ссылка = T2.кандидат ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.люди КАК T3 ПО T1.ссылка = T3.ссылка ГДЕ T2.кодрезультатаоценки = ""Fail"""
87;SELECT student_id FROM student_course_attendance WHERE course_id  =  301;ВЫБРАТЬ студент ИЗ регистрсведений.посещаемостьстудентов ГДЕ курс = 301
88;SELECT student_id FROM student_course_attendance WHERE course_id  =  301;ВЫБРАТЬ студент ИЗ регистрсведений.посещаемостьстудентов ГДЕ курс = 301
89;SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 студент ИЗ регистрсведений.посещаемостьстудентов ГДЕ курс = 301 УПОРЯДОЧИТЬ ПО датапосещения УБЫВ
90;SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 студент ИЗ регистрсведений.посещаемостьстудентов ГДЕ курс = 301 УПОРЯДОЧИТЬ ПО датапосещения УБЫВ
91;SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id;ВЫБРАТЬ РАЗЛИЧНЫЕ T1.город ИЗ справочник.адреса КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.адресалюдей КАК T2 ПО T1.ссылка = T2.адрес
92;SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id;ВЫБРАТЬ РАЗЛИЧНЫЕ T1.город ИЗ справочник.адреса КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.адресалюдей КАК T2 ПО T1.ссылка = T2.адрес
93;SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id;ВЫБРАТЬ РАЗЛИЧНЫЕ T1.город ИЗ справочник.адреса КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.адресалюдей КАК T2 ПО T1.ссылка = T2.адрес ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.студенты КАК T3 ПО T2.человек = T3.ссылка
