db_id;schema
academic;Справочник.Авторы : Ссылка (Справочник.Авторы) , ДомашняяСтраница (Строка) , Наименование (Строка) , Организация (Справочник.Организации) | Справочник.Конференции : Ссылка (Справочник.Конференции) , ДомашняяСтраница (Строка) , Наименование (Строка) | Справочник.Домены : Ссылка (Справочник.Домены) , Наименование (Строка) | РегистрСведений.ДоменыАвторов : Автор (Справочник.Авторы) , Домен (Справочник.Домены) | РегистрСведений.ДоменыКонференций : Конференция (Справочник.Конференции) , Домен (Справочник.Домены) | Справочник.Журналы : Ссылка (Справочник.Журналы) , ДомашняяСтраница (Строка) , Наименование (Строка) | РегистрСведений.ДоменыЖурналов : Домен (Справочник.Домены) , Журнал (Справочник.Журналы) | Справочник.КлючевыеСлова : Ссылка (Справочник.КлючевыеСлова) , Наименование (Строка) | РегистрСведений.ДоменыКлючевыхСлов : Домен (Справочник.Домены) , КлючевоеСлово (Справочник.КлючевыеСлова) | Справочник.Публикации : Ссылка (Справочник.Публикации) , Аннотация (Строка) , Конференция (Справочник.Конференции) , КоличествоЦитирований (Число) , Журнал (Справочник.Журналы) , КоличествоИсточников (Число) , Наименование (Строка) , Год (Число) | РегистрСведений.ДоменыПубликаций : Домен (Справочник.Домены) , Публикация (Справочник.Публикации) | Справочник.Организации : Ссылка (Справочник.Организации) , Континент (Строка) , ДомашняяСтраница (Строка) , Наименование (Строка) | РегистрСведений.КлючевыеСловаПубликаций : Публикация (Справочник.Публикации) , КлючевоеСлово (Справочник.КлючевыеСлова) | РегистрСведений.АвторыПубликаций : Автор (Справочник.Авторы) , Публикация (Справочник.Публикации) | РегистрСведений.СсылкиПубликаций : ПубликацияЦитируемая (Справочник.Публикации) , ПубликацияЦитирующая (Справочник.Публикации)
department_store;Справочник.Адреса : Ссылка (Справочник.Адреса) , ОписаниеАдреса (Строка) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , Пол (Строка) , Наименование (Строка) | Справочник.Поставщики : Ссылка (Справочник.Поставщики) , Наименование (Строка) , Телефон (Строка) | Справочник.СетиМагазинов : Ссылка (Справочник.СетиМагазинов) , Наименование (Строка) | Справочник.Клиенты : Ссылка (Справочник.Клиенты) , КодСпособаОплаты (Строка) , КодКлиента (Строка) , Наименование (Строка) , Адрес (Строка) , Телефон (Строка) , ЭлПочта (Строка) | Справочник.Товары : Ссылка (Справочник.Товары) , КодТипаТовара (Строка) , Наименование (Строка) , Цена (Число) | РегистрСведений.АдресаПоставщиков : Поставщик (Справочник.Поставщики) , Адрес (Справочник.Адреса) , ДатаС (Дата) , ДатаПо (Дата) | РегистрСведений.АдресаКлиентов : Клиент (Справочник.Клиенты) , Адрес (Справочник.Адреса) , ДатаС (Дата) , ДатаПо (Дата) | Документ.ЗаказКлиента : Ссылка (Документ.ЗаказКлиента) , Клиент (Справочник.Клиенты) , КодСтатусаЗаказа (Строка) , ДатаЗаказа (Дата) | Справочник.Магазины : Ссылка (Справочник.Магазины) , СетьМагазинов (Справочник.СетиМагазинов) , Наименование (Строка) , Адрес (Строка) , Телефон (Строка) , ЭлПочта (Строка) | Справочник.Отделы : Ссылка (Справочник.Отделы) , Магазин (Справочник.Магазины) , Наименование (Строка) | РегистрСведений.ТоварыВЗаказах : Заказ (Документ.ЗаказКлиента) , Товар (Справочник.Товары) , СтрокаЗаказа (Число) | РегистрСведений.ПоставщикиТоваров : Товар (Справочник.Товары) , Поставщик (Справочник.Поставщики) , ДатаПоставкиС (Дата) , ДатаПоставкиПо (Дата) , КоличествоЗакуплено (Число) , СтоимостьЗакупок (Число) | РегистрСведений.НазначенияСотрудников : Сотрудник (Справочник.Сотрудники) , Отдел (Справочник.Отделы) , ДатаНазначенияС (Дата) , КодДолжности (Строка) , ДатаНазначенияПо (Дата)
music_4;Справочник.Артисты : Ссылка (Справочник.Артисты) , Наименование (Строка) , Возраст (Число) , ИзвестноеПроизведение (Строка) , ДатаРелизаПроизведения (Дата) | РегистрСведений.Чарты : Ссылка (РегистрСведений.Чарты) , НомерВыпуска (Строка) , ДатаВыпуска (Дата) , НедельНаВершине (Число) , Песня (Строка) , Артист (Справочник.Артисты) | РегистрСведений.МузыкальныеФестивали : Ссылка (РегистрСведений.МузыкальныеФестивали) , Наименование (Строка) , ДатаПроведения (Дата) , Категория (Строка) , НомерВыпуска (Число) , Результат (Строка)
insurance_fnol;Справочник.Клиенты : Ссылка (Справочник.Клиенты) , Наименование (Строка) | Справочник.Сервисы : Ссылка (Справочник.Сервисы) , Наименование (Строка) | Справочник.ДоступныеПолисы : Ссылка (Справочник.ДоступныеПолисы) , КодТипаПолиса (Строка) , ТелефонКлиента (Строка) | РегистрСведений.ПолисыКлиентов : Клиент (Справочник.Клиенты) , Полис (Справочник.ДоступныеПолисы) , ДатаОткрытия (Дата) , ДатаЗакрытия (Дата) | Документ.УведомлениеОЛосе : Ссылка (Документ.УведомлениеОЛосе) , Клиент (Справочник.Клиенты) , Полис (Справочник.ДоступныеПолисы) , Сервис (Справочник.Сервисы) | Документ.Претензия : Ссылка (Документ.Претензия) , УведомлениеОЛосе (Документ.УведомлениеОЛосе) , ДатаВступленияВСилу (Дата) | Документ.Выплата : Ссылка (Документ.Выплата) , Претензия (Документ.Претензия) , ДатаВступленияВСилу (Дата) , СуммаВыплаты (Число)
cinema;Справочник.Фильмы : Ссылка (Справочник.Фильмы) , НомерВСерии (Число) , НомерВСезоне (Число) , Наименование (Строка) , Режиссер (Строка) , ДатаПремьеры (Дата) , КодПроизводства (Строка) | Справочник.Кинотеатры : Ссылка (Справочник.Кинотеатры) , Наименование (Строка) , ГодОткрытия (Число) , Вместимость (Число) , Местоположение (Строка) | РегистрСведений.РасписаниеПоказов : Кинотеатр (Справочник.Кинотеатры) , Фильм (Справочник.Фильмы) , ДатаПоказа (Дата) , КоличествоСеансовВДень (Число) , ЦенаБилета (Число)
decoration_competition;Справочник.Колледжи : Ссылка (Справочник.Колледжи) , Наименование (Строка) , Руководитель (Строка) , Местоположение (Строка) | Справочник.Участники : Ссылка (Справочник.Участники) , Наименование (Строка) , Страна (Строка) , Колледж (Справочник.Колледжи) | РегистрСведений.Раунды : Ссылка (РегистрСведений.Раунды) , Участник (Справочник.Участники) , ТемаОформления (Строка) , МестоВРаунде (Число)
phone_market;Справочник.Смартфоны : Ссылка (Справочник.Смартфоны) , Наименование (Строка) , ОбъемПамятиГБ (Число) , ОператорСвязи (Строка) , Цена (Число) | Справочник.Рынки : Ссылка (Справочник.Рынки) , Район (Строка) , КоличествоСотрудников (Число) , КоличествоМагазинов (Число) , Рейтинг (Число) | РегистрСведений.НаличиеТелефоновНаРынке : Рынок (Справочник.Рынки) , Смартфон (Справочник.Смартфоны) , КоличествоНаСкладе (Число)
store_product;Справочник.Товары : Ссылка (Справочник.Товары) , Наименование (Строка) , Размеры (Строка) , DPI (Число) , СкоростьЦветнойПечати (Число) , МаксимальныйФорматБумаги (Строка) , Интерфейс (Строка) | Справочник.Магазины : Ссылка (Справочник.Магазины) , Наименование (Строка) , Тип (Строка) , Площадь (Число) , КоличествоКатегорийТоваров (Число) , Рейтинг (Число) | Справочник.Районы : Ссылка (Справочник.Районы) , Наименование (Строка) , Город (Строка) , НаселениеГорода (Число) , ПлощадьГорода (Число) | РегистрСведений.ТоварыМагазинов : Магазин (Справочник.Магазины) , Товар (Справочник.Товары) | РегистрСведений.РайоныМагазинов : Магазин (Справочник.Магазины) , Район (Справочник.Районы)
assets_maintenance;Справочник.СторонниеКомпании : Ссылка (Справочник.СторонниеКомпании) , ТипКомпании (Строка) , Наименование (Строка) , Адрес (Строка) , ПрочиеДанныеОКомпании (Строка) | Документ.ДоговорыТО : Ссылка (Документ.ДоговорыТО) , Компания (Справочник.СторонниеКомпании) , ДатаНачалаДоговора (Дата) , ДатаОкончанияДоговора (Дата) , ПрочиеДанныеОДоговоре (Строка) | Справочник.Запчасти : Ссылка (Справочник.Запчасти) , Наименование (Строка) , Платная (Строка) , Стоимость (Строка) , ПрочиеДанныеОЗапчасти (Строка) | Справочник.Навыки : Ссылка (Справочник.Навыки) , КодНавыка (Строка) , ОписаниеНавыка (Строка) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , Наименование (Строка) , Пол (Строка) , ПрочиеДанныеОСотруднике (Строка) | Справочник.Активы : Ссылка (Справочник.Активы) , ДоговорТО (Документ.ДоговорыТО) , Поставщик (Справочник.СторонниеКомпании) , ОписаниеАктивов (Строка) , Производитель (Строка) , Модель (Строка) , ДатаПоступления (Дата) , ДатаСписания (Дата) , ПрочиеДанныеОАктиве (Строка) | РегистрСведений.ЗапчастиАктивов : Актив (Справочник.Активы) , Запчасть (Справочник.Запчасти) | Справочник.ИнженерыТО : Ссылка (Справочник.ИнженерыТО) , Компания (Справочник.СторонниеКомпании) , Имя (Строка) , Фамилия (Строка) , ПрочиеДанные (Строка) | РегистрСведений.НавыкиИнженеров : Инженер (Справочник.ИнженерыТО) , Навык (Справочник.Навыки) | Документ.ЖурналПоломок : Ссылка (Документ.ЖурналПоломок) , Актив (Справочник.Активы) , ОтветственныйСотрудник (Справочник.Сотрудники) , ДатаВремяЗаписи (Дата) , ОписаниеПоломки (Строка) , ПрочиеДанныеОПоломке (Строка) | Документ.ВизитыИнженеров : Ссылка (Документ.ВизитыИнженеров) , КонтактноеЛицо (Справочник.Сотрудники) , Инженер (Справочник.ИнженерыТО) , ЗаписьЖурналаПоломок (Документ.ЖурналПоломок) , СтатусПоломки (Строка) , ДатаНачалаВизита (Дата) , ДатаОкончанияВизита (Дата) , ПрочиеДанныеОВизите (Строка) | Справочник.ПоломкиЗапчастей : Ссылка (Справочник.ПоломкиЗапчастей) , Запчасть (Справочник.Запчасти) , КраткоеНазваниеПоломки (Строка) , ОписаниеПоломки (Строка) , ПрочиеДанныеОПоломке (Строка) | РегистрСведений.ПоломкиЗапчастейВЖурнале : ЗаписьЖурналаПоломок (Документ.ЖурналПоломок) , ПоломкаЗапчасти (Справочник.ПоломкиЗапчастей) , СтатусПоломки (Строка) | РегистрСведений.НавыкиДляУстраненияПоломки : ПоломкаЗапчасти (Справочник.ПоломкиЗапчастей) , Навык (Справочник.Навыки)
student_assessment;Справочник.Адреса : Ссылка (Справочник.Адреса) , Строка1 (Строка) , Строка2 (Строка) , Город (Строка) , ПочтовыйИндекс (Строка) , Регион (Строка) , Страна (Строка) | Справочник.Люди : Ссылка (Справочник.Люди) , Имя (Строка) , Отчество (Строка) , Фамилия (Строка) , МобильныйТелефон (Строка) , ЭлПочта (Строка) , Логин (Строка) , Пароль (Строка) | Справочник.Студенты : Ссылка (Справочник.Студенты) , Описание (Строка) | Справочник.Курсы : Ссылка (Справочник.Курсы) , Наименование (Строка) , Описание (Строка) , ПрочиеДетали (Строка) | РегистрСведений.АдресаЛюдей : Ссылка (РегистрСведений.АдресаЛюдей) , Человек (Справочник.Люди) , Адрес (Справочник.Адреса) , ДатаС (Дата) , ДатаПо (Дата) | РегистрСведений.РегистрацияСтудентовНаКурсы : Студент (Справочник.Студенты) , Курс (Справочник.Курсы) , ДатаРегистрации (Дата) | РегистрСведений.ПосещаемостьСтудентов : Студент (Справочник.Студенты) , Курс (Справочник.Курсы) , ДатаПосещения (Дата) | Справочник.Кандидаты : Ссылка (Справочник.Кандидаты) , Описание (Строка) | РегистрСведений.ОценкаКандидатов : Кандидат (Справочник.Кандидаты) , Квалификация (Строка) , ДатаОценки (Дата) , КодРезультатаОценки (Строка)
dog_kennels;Справочник.Породы : Код (Строка) , Наименование (Строка) | Справочник.Платежи : Ссылка (Справочник.Платежи) , ВидПлатежа (Строка) , Сумма (Число) | Справочник.Размеры : Код (Строка) , Описание (Строка) | Справочник.ВидыЛечения : Код (Строка) , Описание (Строка) | Справочник.Владельцы : Ссылка (Справочник.Владельцы) , Имя (Строка) , Фамилия (Строка) , Улица (Строка) , Город (Строка) , Штат (Строка) , Индекс (Строка) , ЭлПочта (Строка) , ДомашнийТелефон (Строка) , МобильныйТелефон (Строка) | Справочник.Собаки : Ссылка (Справочник.Собаки) , ВладелецСобаки (Справочник.Владельцы) , Брошен (Строка) , Порода (Справочник.Породы) , Размер (Справочник.Размеры) , Кличка (Строка) , Возраст (Строка) , ДатаРождения (Дата) , Пол (Строка) , Вес (Строка) , ДатаПоступления (Дата) , ДатаУсыновления (Дата) , ДатаВыбытия (Дата) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , Роль (Строка) , Имя (Строка) , Улица (Строка) , Город (Строка) , Штат (Строка) , Индекс (Строка) , Фамилия (Строка) , ЭлПочта (Строка) , ДомашнийТелефон (Строка) , МобильныйТелефон (Строка) | РегистрСведений.Лечения : Ссылка (РегистрСведений.Лечения) , Собака (Справочник.Собаки) , Специалист (Справочник.Сотрудники) , ВидЛечения (Справочник.ВидыЛечения) , ДатаЛечения (Дата) , СтоимостьЛечения (Число)
music_1;Справочник.Жанры : Наименование (Строка) , Рейтинг (Строка) , ПопуляренВ (Строка) | Справочник.Артисты : Наименование (Строка) , Страна (Строка) , Пол (Строка) , ПредпочитаемыйЖанр (Строка) | Справочник.Файлы : Ссылка (Справочник.Файлы) , Артист (Справочник.Артисты) , РазмерФайла (Строка) , Длительность (Строка) , Форматы (Строка) | Справочник.Песни : Наименование (Строка) , Артист (Справочник.Артисты) , Страна (Строка) , Файл (Справочник.Файлы) , Жанр (Справочник.Жанры) , Рейтинг (Число) , Языки (Строка) , ДатаВыпуска (Дата) , Разрешение (Число)
company_employee;Справочник.Люди : Ссылка (Справочник.Люди) , Возраст (Число) , Наименование (Строка) , Национальность (Строка) , ВУЗОкончания (Строка) | Справочник.Компании : Ссылка (Справочник.Компании) , Наименование (Строка) , ШтабКвартира (Строка) , Отрасль (Строка) , ПродажиВМлрд (Число) , ПрибыльВМлрд (Число) , АктивыВМлрд (Число) , РыночнаяСтоимостьВМлрд (Число) | РегистрСведений.Трудоустройство : Компания (Справочник.Компании) , Человек (Справочник.Люди) , СтажВКомпании (Число)
solvency_ii;Справочник.Адреса : Ссылка (Справочник.Адреса) , ОписаниеАдреса (Строка) | Справочник.Локации : Ссылка (Справочник.Локации) , ПрочиеДетали (Строка) | Справочник.Товары : Ссылка (Справочник.Товары) , КодТипаТовара (Строка) , Наименование (Строка) , Цена (Число) | Справочник.Стороны : Ссылка (Справочник.Стороны) , Детали (Строка) | Справочник.Активы : Ссылка (Справочник.Активы) , ПрочиеДетали (Строка) | Справочник.Каналы : Ссылка (Справочник.Каналы) , ПрочиеДетали (Строка) | Справочник.Финансы : Ссылка (Справочник.Финансы) , ПрочиеДетали (Строка) | Документ.События : Ссылка (Документ.События) , Адрес (Справочник.Адреса) , Канал (Справочник.Каналы) , КодТипаСобытия (Строка) , Финансы (Справочник.Финансы) , Локация (Справочник.Локации) | РегистрСведений.ТоварыВСобытиях : Ссылка (РегистрСведений.ТоварыВСобытиях) , Событие (Документ.События) , Товар (Справочник.Товары) | РегистрСведений.СтороныВСобытиях : Сторона (Справочник.Стороны) , Событие (Документ.События) , КодРоли (Строка) | Документ.Соглашения : Ссылка (Документ.Соглашения) , Событие (Документ.События) | РегистрСведений.АктивыВСобытиях : Актив (Справочник.Активы) , Событие (Документ.События)
swimming;Справочник.Пловцы : Ссылка (Справочник.Пловцы) , Наименование (Строка) , Национальность (Строка) , Результат100м (Число) , Результат200м (Строка) , Результат300м (Строка) , Результат400м (Строка) , Результат500м (Строка) , Результат600м (Строка) , Результат700м (Строка) , ОбщееВремя (Строка) | Справочник.Стадионы : Ссылка (Справочник.Стадионы) , Наименование (Строка) , Вместимость (Число) , Город (Строка) , Страна (Строка) , ГодОткрытия (Число) | Справочник.Соревнования : Ссылка (Справочник.Соревнования) , Наименование (Строка) , Стадион (Справочник.Стадионы) , Год (Число) | РегистрСведений.Рекорды : Ссылка (РегистрСведений.Рекорды) , Результат (Строка) , Пловец (Справочник.Пловцы) , Соревнование (Справочник.Соревнования)
flight_2;Справочник.Авиалинии : Ссылка (Справочник.Авиалинии) , Наименование (Строка) , Аббревиатура (Строка) , Страна (Строка) | Справочник.Аэропорты : Город (Строка) , КодАэропорта (Строка) , Наименование (Строка) , Страна (Строка) , АббревиатураСтраны (Строка) | РегистрСведений.Рейсы : Авиалиния (Справочник.Авиалинии) , НомерРейса (Строка) , АэропортОтправления (Строка) , АэропортНазначения (Строка)
election;Справочник.Округа : Ссылка (Справочник.Округа) , Наименование (Строка) , Население (Число) , ПочтовыйИндекс (Строка) | Справочник.Партии : Ссылка (Справочник.Партии) , Год (Число) , НаименованиеПартии (Строка) , Губернатор (Строка) , ВицеГубернатор (Строка) , Контролер (Строка) , ГенеральныйПрокурор (Строка) , СенатСША (Строка) | РегистрСведений.Выборы : Ссылка (РегистрСведений.Выборы) , ПредставляемыеОкруга (Строка) , Округ (Число) , Делегат (Строка) , Партия (Справочник.Партии) , ГодПервогоИзбрания (Число) , Комитет (Строка)
manufactory_1;Справочник.Производители : Ссылка (Справочник.Производители) , Наименование (Строка) , ШтабКвартира (Строка) , Основатель (Строка) , Доход (Число) | Справочник.Товары : Ссылка (Справочник.Товары) , Наименование (Строка) , Цена (Число) , Производитель (Справочник.Производители)
debate;Справочник.Люди : Ссылка (Справочник.Люди) , Округ (Строка) , Наименование (Строка) , Партия (Строка) , Возраст (Число) | Справочник.Дебаты : Ссылка (Справочник.Дебаты) , Дата (Дата) , МестоПроведения (Строка) , КоличествоЗрителей (Число) | РегистрСведений.УчастникиДебатов : Дебаты (Справочник.Дебаты) , СторонаЗа (Справочник.Люди) , СторонаПротив (Справочник.Люди) , ПобедаЗа (Булево)
network_2;Справочник.Люди : Наименование (Строка) , Возраст (Число) , Город (Строка) , Пол (Строка) , Профессия (Строка) | РегистрСведений.Друзья : Человек (Справочник.Люди) , Друг (Справочник.Люди) , ГодЗнакомства (Число)
local_govt_in_alabama;Справочник.Сервисы : Ссылка (Справочник.Сервисы) , КодТипаСервиса (Строка) | Справочник.Участники : Ссылка (Справочник.Участники) , КодТипаУчастника (Строка) , Детали (Строка) | Документ.События : Ссылка (Документ.События) , Сервис (Справочник.Сервисы) , ДеталиСобытия (Строка) | РегистрСведений.УчастникиВСобытиях : Событие (Документ.События) , Участник (Справочник.Участники)
climbing;Справочник.Горы : Ссылка (Справочник.Горы) , Наименование (Строка) , Высота (Число) , Видимость (Число) , Хребет (Строка) , Страна (Строка) | Справочник.Альпинисты : Ссылка (Справочник.Альпинисты) , Наименование (Строка) , Страна (Строка) , ВремяПодъема (Строка) , Очки (Число) , Гора (Справочник.Горы)
e_learning;Справочник.АвторыИТьюторыКурсов : Ссылка (Справочник.АвторыИТьюторыКурсов) , РольАвтораИТьютора (Строка) , Логин (Строка) , Пароль (Строка) , Имя (Строка) , Отчество (Строка) , Фамилия (Строка) , Пол (Строка) , АдресСтрока1 (Строка) | Справочник.Студенты : Ссылка (Справочник.Студенты) , ДатаРегистрации (Дата) , ДатаПоследнегоВхода (Дата) , Логин (Строка) , Пароль (Строка) , Имя (Строка) , Отчество (Строка) , Фамилия (Строка) | Справочник.Предметы : Ссылка (Справочник.Предметы) , Наименование (Строка) | Справочник.Курсы : Ссылка (Справочник.Курсы) , Автор (Справочник.АвторыИТьюторыКурсов) , Предмет (Справочник.Предметы) , Наименование (Строка) , Описание (Строка) | РегистрСведений.ЗаписьНаКурсы : Ссылка (РегистрСведений.ЗаписьНаКурсы) , Студент (Справочник.Студенты) , Курс (Справочник.Курсы) , ДатаЗаписи (Дата) , ДатаОкончания (Дата) | РегистрСведений.ТестированиеСтудентов : ЗаписьНаКурс (РегистрСведений.ЗаписьНаКурсы) , ДатаПрохожденияТеста (Дата) , РезультатТеста (Строка)
scientist_1;Справочник.Учёные : Ссылка (Справочник.Учёные) , Наименование (Строка) | Справочник.Проекты : Ссылка (Справочник.Проекты) , Наименование (Строка) , Часы (Число) | РегистрСведений.НазначенияНаПроекты : Учёный (Справочник.Учёные) , Проект (Справочник.Проекты)
ship_1;Справочник.Капитаны : Ссылка (Справочник.Капитаны) , Наименование (Строка) , Корабль (Справочник.Корабли) , Возраст (Строка) , Класс (Строка) , Звание (Строка) | Справочник.Корабли : Ссылка (Справочник.Корабли) , Наименование (Строка) , Тип (Строка) , ГодПостройки (Число) , Класс (Строка) , Флаг (Строка)
entertainment_awards;Справочник.Фестивали : Ссылка (Справочник.Фестивали) , Наименование (Строка) , ИмяПредседателя (Строка) , Местоположение (Строка) , Год (Число) , КоличествоЗрителей (Число) | Справочник.ПроизведенияИскусства : Ссылка (Справочник.ПроизведенияИскусства) , Тип (Строка) , Наименование (Строка) | РегистрСведений.Номинации : ПроизведениеИскусства (Справочник.ПроизведенияИскусства) , Фестиваль (Справочник.Фестивали) , Результат (Строка)
allergy_1;Справочник.ТипыАллергий : НаименованиеАллергии (Строка) , ТипАллергии (Строка) | РегистрСведений.АллергииСтудентов : Студент (Справочник.Студенты) , Аллергия (Справочник.ТипыАллергий) | Справочник.Студенты : Ссылка (Справочник.Студенты) , Фамилия (Строка) , Имя (Строка) , Возраст (Число) , Пол (Строка) , Специальность (Число) , Наставник (Число) , КодГорода (Строка)
