118;What is the average latitude and longitude in San Jose?;Какова средняя широта и долгота в Сан-Хосе?
123;For each zip code, return the average mean temperature of August there.;Для каждого почтового индекса верните среднюю температуру августа.
124;For each zip code, what is the average mean temperature for all dates that start with '8'?;"Для каждого почтового индекса, какова средняя температура для всех дат, начинающихся с ""8""?"
127;What is the number of distinct cities the stations are located at?;Каково количество разных городов, в которых расположены станции?
128;How many different cities have these stations?;В скольких городах есть такие станции?
129;How many stations does Mountain View city has?;Сколько станций в городе Маунтин-Вью?
130;How many stations are in Mountain View?;Сколько станций находится в Маунтин-Вью?
131;Return the unique name for stations that have ever had 7 bikes available.;Возвращает уникальное имя для станций, на которых когда-либо было доступно 7 велосипедов.
132;What are the different names for each station that has ever had 7 bikes available?;Как называется каждая станция, на которой когда-либо было доступно 7 велосипедов?
137;How many days had both mean humidity above 50 and mean visibility above 8?;Сколько дней средняя влажность была выше 50, а средняя видимость выше 8?
138;What is the number of days that had an average humity above 50 and an average visibility above 8?;Каково количество дней, когда средняя влажность воздуха была выше 50, а средняя видимость выше 8?
145;What is the 3 most common cloud cover rates in the region of zip code 94107?;Каковы 3 наиболее распространенные нормы облачности в районе почтового индекса 94107?
146;What are the 3 most common cloud covers in the zip code of 94107?;Какие 3 самых распространенных облака встречаются в почтовом индексе 94107?
147;What is the zip code in which the average mean sea level pressure is the lowest?;В каком почтовом индексе среднее давление на уровне моря самое низкое?
148;What is the zip code that has the lowest average mean sea level pressure?;В каком почтовом индексе самое низкое среднее давление на уровне моря?
153;When and in what zip code did max temperature reach 80?;Когда и в каком почтовом индексе максимальная температура достигла 80?
154;What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?;В каких почтовых индексах есть станция с максимальной температурой, превышающей или равной 80, и когда она достигла этой температуры?
157;For each zip code, return how many times max wind speed reached 25?;Для каждого почтового индекса укажите, сколько раз максимальная скорость ветра достигала 25?
158;For each zip code, how many times has the maximum wind speed reached 25 mph?;Для каждого почтового индекса сколько раз максимальная скорость ветра достигала 25 миль в час?
167;In zip code 94107, on which day neither Fog nor Rain was not observed?;В почтовом индексе 94107 в какой день не наблюдалось ни тумана, ни дождя?
168;On which day has it neither been foggy nor rained in the zip code of 94107?;В какой день в почтовом индексе 94107 не было ни тумана, ни дождя?
173;What are the name, latitude, and city of the station with the lowest latitude?;Назовите название, широту и город станции с самой низкой широтой.
174;What is the name, latitude, and city of the station that is located the furthest South?;Назовите название, широту и город станции, расположенной дальше всех к югу?
175;What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?;Каковы дата, средняя температура и средняя влажность для 3 дней с наибольшей максимальной скоростью порывов?
176;What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?;Какова дата, средняя температура и средняя влажность в дни с 3 наибольшими максимальными скоростями порывов?
177;List the name and the number of stations for all the cities that have at least 15 stations.;Укажите название и количество станций для всех городов, в которых есть не менее 15 станций.
178;What is the name of every city that has at least 15 stations and how many stations does it have?;Как называется город, в котором есть не менее 15 станций, и сколько в нем станций?
181;Find the zip code in which the average mean visibility is lower than 10.;Найдите почтовый индекс, в котором средний показатель видимости меньше 10.
182;For each zip code, select all those that have an average mean visiblity below 10.;Для каждого почтового индекса выберите все те, у которых средняя средняя видимость ниже 10.
183;List all the cities in a decreasing order of each city's stations' highest latitude.;Перечислите все города в порядке убывания наибольшей широты каждой станции.
184;For each city, list their names in decreasing order by their highest station latitude.;Для каждого города перечислите их названия в порядке убывания по наибольшей широте станции.
185;What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.;Назовите даты, в которые приходится 5 самых высоких показателей облачности? Также сообщите мне уровень облачности.
186;What are the dates that have the 5 highest cloud cover rates and what are the rates?;На какие даты приходится 5 самых высоких показателей облачности и каковы их значения?
199;What are the dates in which the mean sea level pressure was between 30.3 and 31?;В какие даты среднее давление на уровне моря составляло от 30,3 до 31?
200;What are the dates that have an average sea level pressure between 30.3 and 31?;В какие даты среднее давление на уровне моря составляет от 30,3 до 31?
201;Find the day in which the difference between the max temperature and min temperature was the smallest. Also report the difference.;Найдите день, в который разница между максимальной и минимальной температурами была наименьшей. Также сообщите об этой разнице.
202;What are the days that had the smallest temperature range, and what was that range?;В какие дни наблюдался наименьший диапазон температур, и каков был этот диапазон?
203;What are the id and name of the stations that have ever had more than 12 bikes available?;Назовите имена и названия станций, на которых когда-либо было доступно более 12 велосипедов?
204;What are the different ids and names of the stations that have had more than 12 bikes available?;Каковы различные идентификаторы и названия станций, на которых было доступно более 12 велосипедов?
213;How many books are there?;Сколько всего книг?
214;List the writers of the books in ascending alphabetical order.;Перечислите авторов книг в алфавитном порядке по возрастанию.
215;List the titles of the books in ascending order of issues.;Перечислите названия книг в порядке возрастания номеров.
216;"What are the titles of the books whose writer is not ""Elaine Lee""?";"Как называются книги, автором которых не является ""Элейн Ли""?"
217;What are the title and issues of the books?;Как называются книги и каковы их номера?
225;Show publishers that have more than one publication.;Показать издателей, имеющих более одной публикации.
226;Show different publishers together with the number of publications they have.;Покажите различные издательства с указанием количества их публикаций.
227;Please show the most common publication date.;Пожалуйста, укажите наиболее распространенную дату публикации.
228;List the writers who have written more than one book.;Перечислите писателей, написавших более одной книги.
231;What is the number of distinct publication dates?;Каково количество различных дат публикации?
232;How many distinct publication dates are there in our record?;Сколько разных дат публикации имеется в нашем архиве?
234;How many actors are there?;Сколько всего актеров?
235;Count the number of actors.;Подсчитайте количество актеров.
236;List the name of actors in ascending alphabetical order.;Перечислите имена актеров в алфавитном порядке по возрастанию.
237;What are the names of actors, ordered alphabetically?;Назовите имена актеров в алфавитном порядке.
238;What are the characters and duration of actors?;Каковы характеры и продолжительность действия актеров?
239;Return the characters and durations for each actor.;Верните персонажей и продолжительность для каждого актера.
240;List the name of actors whose age is not 20.;Перечислите имена актеров, чей возраст не превышает 20 лет.
241;What are the names of actors who are not 20 years old?;Назовите имена актеров, которым нет 20 лет?
242;What are the characters of actors in descending order of age?;Каковы характеры актеров в порядке убывания возраста?
243;Return the characters for actors, ordered by age descending.;Возвращает персонажей для актеров, упорядоченных по возрасту в порядке убывания.
244;What is the duration of the oldest actor?;Какова продолжительность жизни самого старого актера?
245;Return the duration of the actor with the greatest age.;Возвращает продолжительность жизни актера с наибольшим возрастом.
246;"What are the names of musicals with nominee ""Bob Fosse""?";"Как называются мюзиклы с номинантом ""Боб Фосс""?"
247;Return the names of musicals who have the nominee Bob Fosse.;Верните названия мюзиклов, в которых есть номинант Боб Фосс.
248;"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?";"Каковы отдельные номинанты мюзиклов с премией, которая не является ""Tony Award""?"
249;Return the different nominees of musicals that have an award that is not the Tony Award.;"Верните разных номинантов мюзиклов, получивших премию, которая не является премией ""Тони""."
250;Show names of actors and names of musicals they are in.;Покажите имена актеров и названия мюзиклов, в которых они играют.
251;What are the names of actors and the musicals that they are in?;Назовите имена актеров и мюзиклы, в которых они играют?
252;"Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".";"Показать имена актеров, которые снимались в мюзикле с названием ""Призрак Оперы""."
253;What are the names of actors who have been in the musical titled The Phantom of the Opera?;"Назовите имена актеров, сыгравших в мюзикле ""Призрак оперы""?"
254;Show names of actors in descending order of the year their musical is awarded.;Показывайте имена актеров в порядке убывания года, в котором был награжден их мюзикл.
255;What are the names of actors ordered descending by the year in which their musical was awarded?;Какие имена актеров расположены в порядке убывания по году, в котором был награжден их мюзикл?
260;Show different nominees and the number of musicals they have been nominated.;Покажите различных номинантов и количество мюзиклов, которые они номинировали.
261;How many musicals has each nominee been nominated for?;За сколько мюзиклов был номинирован каждый номинант?
262;Please show the nominee who has been nominated the greatest number of times.;Пожалуйста, покажите номинанта, который был номинирован наибольшее количество раз.
263;Who is the nominee who has been nominated for the most musicals?;Кто является номинантом, который был номинирован за наибольшее количество мюзиклов?
264;List the most common result of the musicals.;Перечислите наиболее распространенные результаты мюзиклов.
265;Return the most frequent result across all musicals.;Верните наиболее часто встречающийся результат среди всех мюзиклов.
266;List the nominees that have been nominated more than two musicals.;Перечислите номинантов, которые были номинированы более чем на два мюзикла.
267;Who are the nominees who have been nominated more than two times?;Кто является номинантами, которые были номинированы более двух раз?
272;"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".";"Покажите музыкального номинанта с наградой ""Bob Fosse"" или ""Cleavant Derricks""."
273;Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?;Кто является номинантами, которые были выдвинуты на одну из премий Боба Фосса или Кливанта Деррикса?
274;"Find the emails of the user named ""Mary"".";"Найдите электронную почту пользователя по имени ""Мэри""."
275;"What is the partition id of the user named ""Iron Man"".";"Какой идентификатор раздела у пользователя с именем ""Железный человек""."
276;How many users are there?;Сколько всего пользователей?
277;How many followers does each user have?;Сколько последователей у каждого пользователя?
278;Find the number of followers for each user.;Найдите количество последователей для каждого пользователя.
281;Find the name and email of the user whose name contains the word ‘Swift’.;"Найдите имя и электронную почту пользователя, в имени которого содержится слово ""Swift""."
282;Find the names of users whose emails contain ‘superstar’ or ‘edu’.;Найдите имена пользователей, чьи электронные письма содержат 'superstar' или 'edu'.
284;Find the name and email of the users who have more than 1000 followers.;Найдите имя и электронную почту пользователей, у которых более 1000 подписчиков.
289;Find the id of users who are followed by Mary or Susan.;Найдите идентификаторы пользователей, за которыми следят Мэри или Сьюзан.
290;Find the name of the user who has the largest number of followers.;Найдите имя пользователя, у которого наибольшее количество подписчиков.
291;Find the name and email of the user followed by the least number of people.;Найдите имя и электронную почту пользователя, за которым следует наименьшее количество людей.
292;List the name and number of followers for each user, and sort the results by the number of followers in descending order.;Перечислите имя и количество последователей каждого пользователя и отсортируйте результаты по количеству последователей в порядке убывания.
293;List the names of 5 users followed by the largest number of other users.;Перечислите имена 5 пользователей, за которыми следует наибольшее число других пользователей.
300;Find the maximum and total number of followers of all users.;Найдите максимальное и общее количество последователей всех пользователей.
301;Find the names of all the catalog entries.;Найдите названия всех записей в каталоге.
302;What are all the catalog entry names?;Как называются все записи в каталоге?
303;Find the list of attribute data types possessed by more than 3 attribute definitions.;Найдите список типов данных атрибутов, обладающих более чем 3 определениями атрибутов.
304;What are the attribute data types with more than 3 attribute definitions?;Какие типы данных атрибутов имеют более 3 определений атрибутов?
305;"What is the attribute data type of the attribute with name ""Green""?";"Каков тип данных атрибута с именем ""Green""?"
306;"Find the attribute data type for the attribute named ""Green"".";"Найдите тип данных атрибута с именем ""Green""."
307;Find the name and level of catalog structure with level between 5 and 10.;Найдите название и уровень структуры каталога с уровнем от 5 до 10.
308;What are the name and level of catalog structure with level number between 5 and 10;Каковы название и уровень структуры каталога с номером уровня от 5 до 10
309;"Find all the catalog publishers whose name contains ""Murray""";"Найдите все издательства по каталогу, в названии которых встречается слово ""Murray""."
310;"Which catalog publishers have substring ""Murray"" in their names?";"В названиях каких издательств каталога присутствует подстрока ""Murray""?"
311;Which catalog publisher has published the most catalogs?;Какое издательство выпустило больше всего каталогов?
312;Find the catalog publisher that has the most catalogs.;Найдите издателя каталога, у которого больше всего каталогов.
317;What is the entry name of the most expensive catalog (in USD)?;Какое название самого дорогого каталога (в USD)?
318;Find the entry name of the catalog with the highest price (in USD).;Найдите название записи в каталоге с самой высокой ценой (в долларах США).
319;What is the level name of the cheapest catalog (in USD)?;Каков уровень названия самого дешевого каталога (в USD)?
320;Find the level name of the catalog with the lowest price (in USD).;Найдите название уровня каталога с самой низкой ценой (в долларах США).
321;What are the average and minimum price (in Euro) of all products?;Какова средняя и минимальная цена (в евро) всех продуктов?
322;Give me the average and minimum price (in Euro) of the products.;Укажите среднюю и минимальную цену (в евро) продуктов.
323;What is the product with the highest height? Give me the catalog entry name.;Какой продукт имеет наибольшую высоту? Укажите название позиции в каталоге.
324;Which catalog content has the highest height? Give me the catalog entry name.;Какое содержимое каталога имеет наибольшую высоту? Укажите имя элемента каталога.
325;Find the name of the product that has the smallest capacity.;Найдите название продукта, который имеет наименьшую емкость.
326;Which catalog content has the smallest capacity? Return the catalog entry name.;Какое содержимое каталога имеет наименьшую емкость? Верните имя записи каталога.
327;"Find the names of all the products whose stock number starts with ""2"".";"Найдите названия всех товаров, чей инвентарный номер начинается с ""2""."
328;"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.";"В каких каталогах инвентарный номер продукта начинается с ""2""? Покажите названия записей в каталоге."
329;Find the names of catalog entries with level number 8.;Найдите названия записей в каталоге с номером уровня 8.
330;What are the names of catalog entries with level number 8?;Как называются записи в каталоге с номером уровня 8?
331;Find the names of the products with length smaller than 3 or height greater than 5.;Найдите названия изделий, длина которых меньше 3 или высота больше 5.
332;Which catalog contents have length below 3 or above 5? Find the catalog entry names.;Какое содержимое каталога имеет длину меньше 3 или больше 5? Найдите имена записей в каталоге.
333;Find the name and attribute ID of the attribute definitions with attribute value 0.;Найдите имя и идентификатор атрибута определения атрибута со значением 0.
334;Which attribute definitions have attribute value 0? Give me the attribute name and attribute ID.;Какие определения атрибутов имеют значение 0? Укажите имя атрибута и идентификатор атрибута.
